OBJECTID,FULLADDRESS,BuildingName,Square,Lot,Date,MapYear,Permit_Notes,NOTES,Suffix,EDITTYPE,House_Key,House_Type,Extant,Updated,Facade,Flag,Contributing,ArchitectGroup,Developer,Quantity,Rooms,Width,Depth,Number_of_Families,Store,Stories,Permits_Last_Editor,Permits_Last_Edit_Date,RazedFlag,PermitsSource,PermitNumber,Owner,Architect,Builder,Material,Purpose,EstimatedCost,MicrofilmRoll,PermitType,SolidFilled,FoundationMaterial,StoneType,RoofType,FrontMaterial,RoofMaterial,Heat,Shape__Area,Shape__Length
4,2216 38TH STREET NW,,1301,739,6/5/1930 12:00:00 AM,1930,,,,,64376.0,Rowhouse,1.0,1.0,building,0.0,,"Santmyers, George T.","Gruver, D. C.",5.0,6.0,18.0,31.0,0.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,133480,"Gruver, D. C.","Santmyers, George T.","Gruver, D. C.",brick,dwelling,25000.0,420,,,brick,,flat,,tin,hot water,144.66796875,54.7070582095744
5,2224 38TH STREET NW,,1301,735,6/5/1930 12:00:00 AM,1930,,,,,64380.0,Rowhouse,1.0,1.0,building,0.0,,"Santmyers, George T.","Gruver, D. C.",5.0,6.0,18.0,31.0,0.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,133480,"Gruver, D. C.","Santmyers, George T.","Gruver, D. C.",brick,dwelling,25000.0,420,,,brick,,flat,,tin,hot water,144.671875,54.7056620422818
6,2222 38TH STREET NW,,1301,736,6/5/1930 12:00:00 AM,1930,,,,,64379.0,Rowhouse,1.0,1.0,building,0.0,,"Santmyers, George T.","Gruver, D. C.",5.0,6.0,18.0,31.0,0.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,133480,"Gruver, D. C.","Santmyers, George T.","Gruver, D. C.",brick,dwelling,25000.0,420,,,brick,,flat,,tin,hot water,144.5234375,54.690772190752
7,2218 38TH STREET NW,,1301,738,6/5/1930 12:00:00 AM,1930,,,,,64377.0,Rowhouse,1.0,1.0,building,0.0,,"Santmyers, George T.","Gruver, D. C.",5.0,6.0,18.0,31.0,0.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,133480,"Gruver, D. C.","Santmyers, George T.","Gruver, D. C.",brick,dwelling,25000.0,420,,,brick,,flat,,tin,hot water,141.109375,54.3479802856921
8,2220 38TH STREET NW,,1301,737,6/5/1930 12:00:00 AM,1930,,,,,64378.0,Rowhouse,1.0,1.0,building,0.0,,"Santmyers, George T.","Gruver, D. C.",5.0,6.0,18.0,31.0,0.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,133480,"Gruver, D. C.","Santmyers, George T.","Gruver, D. C.",brick,dwelling,25000.0,420,,,brick,,flat,,tin,hot water,140.0703125,54.2428078811078
9,3411 33RD PLACE NW,,2073,4,7/10/1911 12:00:00 AM,1911,,,,,57663.0,Detached,1.0,1.0,building,0.0,Yes,Hunter & Bell,"Taylor, Louise & Chas. H.",1.0,0.0,28.0,48.0,1.0,0.0,2.0,BKRAFT,8/3/2015 4:53:36 PM,0.0,DC Historical Building Permits Database,148,"Taylor, Chas. H.",Hunter & Bell,"Taylor, Chas. H.",frame,dwelling,5000.0,643,,solid,stone,,pitch,stucco,slate,,335.48046875,82.5462046359063
10,1746 MASSACHUSETTS AVENUE NW,,158,17,9/12/1906 12:00:00 AM,1906,,Uzbekistan,,,47526.0,Detached,1.0,1.0,building,0.0,Yes,Bruce Price & de Sibour,"Moore, Clarence, Esq.",1.0,0.0,59.0,100.0,1.0,0.0,5.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,825,"Moore, Clarence, Esq.",Bruce Price & de Sibour,Fuller (Geo. A.) Co.,brick & stone,dwelling,200000.0,380,,solid,concrete,limestone & granite,mansard,brick & stone,slate,steam,1013.89453125,142.540004739871
11,1301 S STREET NW,,238,800,,1874,,,,,,,1.0,,,,Yes,,,,,,,,0.0,,BKRAFT,9/28/2016 7:05:05 PM,0.0,Faetz & Pratt 1874 Real Estate Directory,, ,, ,,,,,,,,,,,,,179.08203125,58.0397463044171
18,3554 APPLETON STREET NW,,1972,28,11/29/1940 12:00:00 AM,1940,,,,,117194.0,Detached,1.0,1.0,building,0.0,,"Miller, Eugene L.","Miller, Eugene L.",2.0,6.0,35.0,24.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,238969,"Miller, Eugene L.","Miller, Eugene L.","Miller, Eugene L.",brick,dwelling,16000.0,639,,,cinder block & brick,,pitch,,slate,hot air,210.6953125,69.2764467069292
19,3548 APPLETON STREET NW,,1972,32,11/29/1940 12:00:00 AM,1940,,,,,117193.0,Detached,1.0,1.0,building,0.0,,"Miller, Eugene L.","Miller, Eugene L.",2.0,6.0,35.0,24.0,1.0,0.0,2.0,BKRAFT,8/3/2015 3:21:34 PM,0.0,DC Historical Building Permits Database,238969,"Miller, Eugene L.","Miller, Eugene L.","Miller, Eugene L.",brick,dwelling,16000.0,639,,,cinder block & brick,,pitch,,slate,hot air,199.44140625,66.6495366120317
